NOME DA ESTAÇÃO;DATA;CHUVA;VAZAO
58974000;01/03/1934;SD;1550,317
58974000;02/03/1934;SD;1501,7043
58974000;03/03/1934;SD;1469,8672
58974000;04/03/1934;SD;1446,2869
58974000;05/03/1934;SD;1575,0118
58974000;06/03/1934;SD;1550,317
58974000;07/03/1934;SD;1517,794
58974000;08/03/1934;SD;1347,018
58974000;09/03/1934;SD;1273,8268
58974000;10/03/1934;SD;1203,3363
58974000;11/03/1934;SD;1155,5725
58974000;12/03/1934;SD;1089,5562
58974000;13/03/1934;SD;1044,873
58974000;14/03/1934;SD;1019,8971
58974000;15/03/1934;SD;1019,8971
58974000;16/03/1934;SD;1019,8971
58974000;17/03/1934;SD;1044,873
58974000;18/03/1934;SD;1051,18
58974000;19/03/1934;SD;1038,5913
58974000;20/03/1934;SD;1026,1033
58974000;21/03/1934;SD;947,3634
58974000;22/03/1934;SD;906,6848
58974000;23/03/1934;SD;971,1455
58974000;24/03/1934;SD;1175,8848
58974000;25/03/1934;SD;1148,854
58974000;26/03/1934;SD;1142,1617
58974000;27/03/1934;SD;1217,2208
58974000;28/03/1934;SD;1038,5913
58974000;29/03/1934;SD;923,9728
58974000;30/03/1934;SD;861,6406
58974000;31/03/1934;SD;818,1135
58974000;01/04/1934;SD;918,1859
58974000;02/04/1934;SD;900,9704
58974000;03/04/1934;SD;812,778
58974000;04/04/1934;SD;802,1767
58974000;05/04/1934;SD;796,9108
58974000;06/04/1934;SD;765,7946
58974000;07/04/1934;SD;776,0776
58974000;08/04/1934;SD;786,4482
58974000;09/04/1934;SD;715,2268
58974000;10/04/1934;SD;702,9405
58974000;11/04/1934;SD;702,9405
58974000;12/04/1934;SD;709,066
58974000;13/04/1934;SD;850,6176
58974000;14/04/1934;SD;867,1876
58974000;15/04/1934;SD;929,7839
58974000;16/04/1934;SD;1076,6622
58974000;17/04/1934;SD;953,2721
58974000;18/04/1934;SD;906,6848
58974000;19/04/1934;SD;929,7839
58974000;20/04/1934;SD;953,2721
58974000;21/04/1934;SD;906,6848
58974000;22/04/1934;SD;845,1415
58974000;23/04/1934;SD;818,1135
58974000;24/04/1934;SD;823,4723
58974000;25/04/1934;SD;845,1415
58974000;26/04/1934;SD;1007,5597
58974000;27/04/1934;SD;947,3634
58974000;28/04/1934;SD;912,4233
58974000;29/04/1934;SD;878,353
58974000;30/04/1934;SD;883,9714
58974000;01/05/1934;SD;929,7839
58974000;02/05/1934;SD;983,1844
58974000;03/05/1934;SD;1032,3347
58974000;04/05/1934;SD;1026,1033
58974000;05/05/1934;SD;941,4792
58974000;06/05/1934;SD;861,6406
58974000;07/05/1934;SD;834,26
58974000;08/05/1934;SD;733,9218
58974000;09/05/1934;SD;765,7946
58974000;10/05/1934;SD;752,9377
58974000;11/05/1934;SD;702,9405
58974000;12/05/1934;SD;678,7889
58974000;13/05/1934;SD;672,8381
58974000;14/05/1934;SD;666,9221
58974000;15/05/1934;SD;661,0406
58974000;16/05/1934;SD;661,0406
58974000;17/05/1934;SD;661,0406
58974000;18/05/1934;SD;643,6024
58974000;19/05/1934;SD;626,4718
58974000;20/05/1934;SD;620,8295
58974000;21/05/1934;SD;620,8295
58974000;22/05/1934;SD;609,646
58974000;23/05/1934;SD;598,5968
58974000;24/05/1934;SD;593,1223
58974000;25/05/1934;SD;593,1223
58974000;26/05/1934;SD;582,2731
58974000;27/05/1934;SD;576,8981
58974000;28/05/1934;SD;637,8582
58974000;29/05/1934;SD;535,0771
58974000;30/05/1934;SD;566,247
58974000;31/05/1934;SD;560,9707
58974000;01/06/1934;SD;555,727
58974000;02/06/1934;SD;550,5159
58974000;03/06/1934;SD;545,3373
58974000;04/06/1934;SD;582,2731
58974000;05/06/1934;SD;495,3154
58974000;06/06/1934;SD;514,942
58974000;07/06/1934;SD;529,9953
58974000;08/06/1934;SD;540,1911
58974000;09/06/1934;SD;560,9707
58974000;10/06/1934;SD;566,247
58974000;11/06/1934;SD;576,8981
58974000;12/06/1934;SD;576,8981
58974000;13/06/1934;SD;566,247
58974000;14/06/1934;SD;550,5159
58974000;15/06/1934;SD;535,0771
58974000;16/06/1934;SD;535,0771
58974000;17/06/1934;SD;529,9953
58974000;18/06/1934;SD;524,9456
58974000;19/06/1934;SD;524,9456
58974000;20/06/1934;SD;519,9279
58974000;21/06/1934;SD;540,1911
58974000;22/06/1934;SD;593,1223
58974000;23/06/1934;SD;593,1223
58974000;24/06/1934;SD;550,5159
58974000;25/06/1934;SD;524,9456
58974000;26/06/1934;SD;509,9879
58974000;27/06/1934;SD;495,3154
58974000;28/06/1934;SD;490,4874
58974000;29/06/1934;SD;509,9879
58974000;30/06/1934;SD;514,942
58974000;01/07/1934;SD;505,0656
58974000;02/07/1934;SD;495,3154
58974000;03/07/1934;SD;485,6908
58974000;04/07/1934;SD;480,9253
58974000;05/07/1934;SD;485,6908
58974000;06/07/1934;SD;490,4874
58974000;07/07/1934;SD;476,1909
58974000;08/07/1934;SD;471,4874
58974000;09/07/1934;SD;466,8149
58974000;10/07/1934;SD;443,9118
58974000;11/07/1934;SD;430,5342
58974000;12/07/1934;SD;457,562
58974000;13/07/1934;SD;457,562
58974000;14/07/1934;SD;462,1731
58974000;15/07/1934;SD;457,562
58974000;16/07/1934;SD;457,562
58974000;17/07/1934;SD;457,562
58974000;18/07/1934;SD;452,9815
58974000;19/07/1934;SD;439,4225
58974000;20/07/1934;SD;439,4225
58974000;21/07/1934;SD;430,5342
58974000;22/07/1934;SD;426,1351
58974000;23/07/1934;SD;426,1351
58974000;24/07/1934;SD;466,8149
58974000;25/07/1934;SD;485,6908
58974000;26/07/1934;SD;452,9815
58974000;27/07/1934;SD;443,9118
58974000;28/07/1934;SD;426,1351
58974000;29/07/1934;SD;417,4264
58974000;30/07/1934;SD;408,8364
58974000;31/07/1934;SD;408,8364
58974000;01/08/1934;SD;404,5857
58974000;02/08/1934;SD;400,3644
58974000;03/08/1934;SD;400,3644
58974000;04/08/1934;SD;400,3644
58974000;05/08/1934;SD;396,1723
58974000;06/08/1934;SD;392,0095
58974000;07/08/1934;SD;383,7709
58974000;08/08/1934;SD;379,695
58974000;09/08/1934;SD;375,6479
58974000;10/08/1934;SD;371,6294
58974000;11/08/1934;SD;371,6294
58974000;12/08/1934;SD;371,6294
58974000;13/08/1934;SD;363,6782
58974000;14/08/1934;SD;363,6782
58974000;15/08/1934;SD;351,9639
58974000;16/08/1934;SD;355,8405
58974000;17/08/1934;SD;348,1155
58974000;18/08/1934;SD;351,9639
58974000;19/08/1934;SD;359,7452
58974000;20/08/1934;SD;351,9639
58974000;21/08/1934;SD;359,7452
58974000;22/08/1934;SD;344,295
58974000;23/08/1934;SD;348,1155
58974000;24/08/1934;SD;355,8405
58974000;25/08/1934;SD;363,6782
58974000;26/08/1934;SD;363,6782
58974000;27/08/1934;SD;355,8405
58974000;28/08/1934;SD;348,1155
58974000;29/08/1934;SD;340,5024
58974000;30/08/1934;SD;336,7376
58974000;31/08/1934;SD;344,295
58974000;01/09/1934;SD;351,9639
58974000;02/09/1934;SD;344,295
58974000;03/09/1934;SD;336,7376
58974000;04/09/1934;SD;336,7376
58974000;05/09/1934;SD;336,7376
58974000;06/09/1934;SD;336,7376
58974000;07/09/1934;SD;333,0005
58974000;08/09/1934;SD;321,9542
58974000;09/09/1934;SD;318,3268
58974000;10/09/1934;SD;321,9542
58974000;11/09/1934;SD;325,6089
58974000;12/09/1934;SD;340,5024
58974000;13/09/1934;SD;363,6782
58974000;14/09/1934;SD;363,6782
58974000;15/09/1934;SD;359,7452
58974000;16/09/1934;SD;351,9639
58974000;17/09/1934;SD;363,6782
58974000;18/09/1934;SD;413,1166
58974000;19/09/1934;SD;439,4225
58974000;20/09/1934;SD;476,1909
58974000;21/09/1934;SD;476,1909
58974000;22/09/1934;SD;514,942
58974000;23/09/1934;SD;524,9456
58974000;24/09/1934;SD;540,1911
58974000;25/09/1934;SD;480,9253
58974000;26/09/1934;SD;452,9815
58974000;27/09/1934;SD;430,5342
58974000;28/09/1934;SD;430,5342
58974000;29/09/1934;SD;434,9633
58974000;30/09/1934;SD;466,8149
58974000;01/10/1934;SD;540,1911
58974000;02/10/1934;SD;529,9953
58974000;03/10/1934;SD;505,0656
58974000;04/10/1934;SD;485,6908
58974000;05/10/1934;SD;466,8149
58974000;06/10/1934;SD;434,9633
58974000;07/10/1934;SD;396,1723
58974000;08/10/1934;SD;452,9815
58974000;09/10/1934;SD;363,6782
58974000;10/10/1934;SD;355,8405
58974000;11/10/1934;SD;430,5342
58974000;12/10/1934;SD;439,4225
58974000;13/10/1934;SD;434,9633
58974000;14/10/1934;SD;421,7658
58974000;15/10/1934;SD;434,9633
58974000;16/10/1934;SD;476,1909
58974000;17/10/1934;SD;462,1731
58974000;18/10/1934;SD;426,1351
